"Financial Year & Period","Route","Route Name","Area","Area Name","Delivery Unit","Delivery Unit Name","Incident Summary Group","Incident Category","Incident Category Description","Incident Reason","Incident Reason Description","Responsible Organisation","Responsible Organisation Name","Responsible Manager","Responsible Manager Name","Responsible Function Level 3 Desc","Responsible Function Level 3 Name","v_Incident Count","v_PfPI Minutes"
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Severe Weather, Autumn & Structures","110A","Severe weather (beyond design capability of infrastructure)","XW","Severe weather not snow affecting infrastructure the responsibility of Network Rail","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",1,53
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Severe Weather, Autumn & Structures","110B","Other weather (impact on infrastructure or network operations)","JH","Critical Rail Temperature speeds, (other than buckled rails)","NR","Network Rail","IQGG","NEA LEEDS DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",3,21
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","R1","Incorrect train dispatch by station staff","ED","Northern Trains","REDL","ARN : Lds Despatch","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","R2","Late TRTS given by station staff","ED","Northern Trains","REDL","ARN : Lds Despatch","NONE","NONE",6,31
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","R2","Late TRTS given by station staff","ED","Northern Trains","REDY","ARN : Lds St Coord","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","EA","TPE","REAR","TPE Leeds","NONE","NONE",1,8
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","HB","LNER","RHBH","LNER Wakefield Westgate","NONE","NONE",1,4
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RB","Passengers joining/alighting","EA","TPE","REA3","TPE Unmanned Stns East Hobs","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RB","Passengers joining/alighting","EA","TPE","REAH","TPE Huddersfield","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RB","Passengers joining/alighting","ED","Northern Trains","SED2","NT: Est Cust Dlys","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RC","re-booked assistance for a person with reduced mobility joining/alighting,","ED","Northern Trains","SED2","NT: Est Cust Dlys","NONE","NONE",3,9
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RC","re-booked assistance for a person with reduced mobility joining/alighting,","ED","Northern Trains","SED5","NT : SM WH  HGT & YRK","NONE","NONE",1,4
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RC","re-booked assistance for a person with reduced mobility joining/alighting,","ED","Northern Trains","SED7","NT: SM CLD  HUD & DD","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RC","re-booked assistance for a person with reduced mobility joining/alighting,","ED","Northern Trains","SED8","NT: SM AIRE & SC","NONE","NONE",2,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RP","Passenger dropped object whilst boarding/alighting from train and train delayed at TOC request","ED","Northern Trains","SED2","NT: Est Cust Dlys","NONE","NONE",2,12
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RT","Loading excessive luggage","ED","Northern Trains","SED2","NT: Est Cust Dlys","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RV","Customer Information system failure","ED","Northern Trains","REDY","ARN : Lds St Coord","NONE","NONE",1,16
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RV","Customer Information system failure","ED","Northern Trains","SED2","NT: Est Cust Dlys","NONE","NONE",2,14
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RZ","Other Station Operating causes","ED","Northern Trains","REDT","ARN : Hud St Coord","NONE","NONE",3,17
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RZ","Other Station Operating causes","ED","Northern Trains","REDY","ARN : Lds St Coord","NONE","NONE",2,10
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Stations","701E","Station delays","RZ","Other Station Operating causes","ED","Northern Trains","SED5","NT : SM WH  HGT & YRK","NONE","NONE",1,7
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","EA","TPE","VEAK","TPE YORK CONDUCTORS EXT","NONE","NONE",1,13
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","EA","TPE","VEAN","TPE North External","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","ED","Northern Trains","VED2","NT: Est Extnl","NONE","NONE",5,74
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VB","Vandalism or theft","EA","TPE","VEAL","TPE LIVERPOOL CONDUCTORS EXT","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VD","Passenger taken ill on train","EA","TPE","VEAN","TPE North External","NONE","NONE",1,45
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","EA","TPE","VEAK","TPE YORK CONDUCTORS EXT","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","ED","Northern Trains","VED2","NT: Est Extnl","NONE","NONE",2,8
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","ED","Northern Trains","VED6","NT:  DISORDER  EAST","NONE","NONE",1,40
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","EH","CrossCountry","VEH1","XC Train Manager Leeds","NONE","NONE",1,15
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","EH","CrossCountry","VEH6","XC Train Manager Birmingham","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","EA","TPE","VEAN","TPE North External","NONE","NONE",2,15
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","ED","Northern Trains","VED2","NT: Est Extnl","NONE","NONE",4,17
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","ED","Northern Trains","VED6","NT:  DISORDER  EAST","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701F","External Causes (Train Operator)","VZ","Other passenger or external causes the responsibility of TOC","ED","Northern Trains","VED2","NT: Est Extnl","NONE","NONE",62,774
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701G","Freight Terminal/Yard delays","AA","Waiting acceptance into off Network Rail network Terminal or Yard","DB","Freightliner Intermodal","ADBF","F/Liner                       ","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701G","Freight Terminal/Yard delays","FW","Late start/yard overtime not explained by Operator","D1","Freightliner Inf","FDBI","Fliner Infrastructure","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","TOC Other","701G","Freight Terminal/Yard delays","FW","Late start/yard overtime not explained by Operator","WA","DB Cargo","FWAW","DBC Autos & Chemicals","NONE","NONE",1,4
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104A","TSRs Due to Condition of Track","JA","TSR speed restrictions for track work outside of the Timetable Planning Rules","NR","Network Rail","IQJ4","EST WORKS DELIVERY NORTH","Works Delivery","WORKS DELIVERY",1,55
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104A","TSRs Due to Condition of Track","JS","Condition of Track TSR outside the Timetable Planning Rules","NR","Network Rail","IQGG","NEA LEEDS DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",6,116
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104A","TSRs Due to Condition of Track","JS","Condition of Track TSR outside the Timetable Planning Rules","NR","Network Rail","IQJ3","EST WORKS DELIVERY CENTRAL","Works Delivery","WORKS DELIVERY",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104B","Track Faults including Broken Rails","IR","Broken/cracked/twisted/buckled/flawed rail","NR","Network Rail","IQGG","NEA LEEDS DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,53
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104B","Track Faults including Broken Rails","IS","Track defects (other than rail defects) inc. fish plates, wet beds etc.","NR","Network Rail","IQGG","NEA LEEDS DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",3,68
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Track","104D","Reactionary delay to P-coded TSRs","JB","Reactionary Delay to 'P' coded TSRs","NR","Network Rail","IQGG","NEA LEEDS DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,28
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","FE","Train Crew not available including after rest","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","FF","FOC Diagramming or Rostering issue","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",1,15
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","EA","TPE","TEAB","TPE Liverpool Drivers","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","EA","TPE","TEAO","TPE Hull Drivers","NONE","NONE",2,12
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","EA","TPE","TEAY","TPE York Drivers","NONE","NONE",1,0
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TED0","NT : York Drivers","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TED1","NT : Shf Drivers","NONE","NONE",1,23
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TEDK","NT : HUD Drivers","NONE","NONE",3,46
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TEDN","NT : Mcv Drivers","NONE","NONE",2,15
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TEDW","NT : Ski Drivers","NONE","NONE",5,38
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","ED","Northern Trains","TEDX","NT : Lds Drivers","NONE","NONE",24,251
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","EM","EMR","TEMA","EMR General","NONE","NONE",1,""
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TG","Driver","HB","LNER","THB2","LNER Drivers Yorkshire","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","ED","Northern Trains","TED5","NT : Hud Conductors","NONE","NONE",1,38
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","ED","Northern Trains","TED9","NT : Ski Conductors","NONE","NONE",2,10
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","ED","Northern Trains","TEDY","NT : Lds Conductors","NONE","NONE",10,88
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TI","Traincrew rostering problem","ED","Northern Trains","TEDG","NT: RPC East","NONE","NONE",1,16
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TI","Traincrew rostering problem","ED","Northern Trains","TEDZ","NT : Lds Tcs","NONE","NONE",4,88
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TI","Traincrew rostering problem","ED","Northern Trains","UEDG","NT: Regimes","NONE","NONE",1,11
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TW","Driver adhering to company professional driving standards or policy","ED","Northern Trains","DED2","ARN : EST Split","NONE","NONE",16,31
"2020/21_P01","G","North & East","GMNEA","North & East","DULDS","LEEDS","Traincrew","701C","Traincrew causes","TW","Driver adhering to company professional driving standards or policy","ED","Northern Trains","TEDX","NT : Lds Drivers","NONE","NONE",1,7
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","External","401","Bridge strikes","XP","BRIDGE HIT","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",2,129
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","External","403","External level crossing/road incidents (not bridges)","XD","Level Crossing Incidents including misuse and emergency services being prioritised over rail services","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",3,11
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","External","503","External fatalities and trespass","XA","Trespass (including non-intentional)","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",14,246
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","External","504","External police on line/security alerts","XF","Police searching the line","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","External","506","External other","XU","Sunlight on signal or dispatch equipment Where all responsible mitigation has been taken","NR","Network Rail","XQGL","NEA NORTH EASTERN EXTERNAL","External Causes","EXTERNAL CAUSES",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","ED","Northern Trains","NEDB","NT: Newton Heath Planner Swaps","NONE","NONE",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","ED","Northern Trains","NEDC","NT: Neville Hill Planner Swaps","NONE","NONE",1,13
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ED","Northern Trains","NED7","NT: NH CL156","NONE","NONE",1,0
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M0","Confirmed train cab based safety system fault (including GSMR)","ED","Northern Trains","NED6","NT: HT CL158 2 Car","NONE","NONE",1,46
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M0","Confirmed train cab based safety system fault (including GSMR)","WA","DB Cargo","MWAM","DBC Metals","NONE","NONE",1,18
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ED","Northern Trains","MED0","NT : NL CL 158 2 Car","NONE","NONE",1,4
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ED","Northern Trains","MEDE","NT: NBH Class 150/2","NONE","NONE",2,69
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ED","Northern Trains","MEDW","NT : NL CL153","NONE","NONE",1,10
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ED","Northern Trains","NED4","NT: NH CL195 - 2 Car","NONE","NONE",1,5
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ED","Northern Trains","NED6","NT: HT CL158 2 Car","NONE","NONE",1,20
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","EA","TPE","MEA8","TPE Class 185 Units","NONE","NONE",5,98
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ED","Northern Trains","MED0","NT : NL CL 158 2 Car","NONE","NONE",2,8
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ED","Northern Trains","MEDE","NT: NBH Class 150/2","NONE","NONE",1,42
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ED","Northern Trains","NED4","NT: NH CL195 - 2 Car","NONE","NONE",1,11
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","EM","EMR","MEM8","EMR Fleet-Class 158","NONE","NONE",1,""
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","M9","Reported fleet equipment defect - no fault found","EH","CrossCountry","MEH6","XC Fleet Class 220","NONE","NONE",1,29
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MC","Diesel Loco failure, defect, attention","WA","DB Cargo","MWAM","DBC Metals","NONE","NONE",2,24
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ED","Northern Trains","MED0","NT : NL CL 158 2 Car","NONE","NONE",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ED","Northern Trains","MEDE","NT: NBH Class 150/2","NONE","NONE",4,137
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ED","Northern Trains","MEDF","NT : NH CL150/1","NONE","NONE",1,4
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ED","Northern Trains","MEDW","NT : NL CL153","NONE","NONE",3,154
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ED","Northern Trains","NED6","NT: HT CL158 2 Car","NONE","NONE",3,89
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","ML","Wagons, coaches and parcel vehicle faults","DB","Freightliner Intermodal","MDBF","Fliner                        ","NONE","NONE",1,1544
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Fleet","701D","Technical Fleet delays","MN","Brake and brake systems faults; including wheel flats where no other cause had been identified","ED","Northern Trains","MEDE","NT: NBH Class 150/2","NONE","NONE",2,15
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","106","Other infrastructure","JX","Miscellaneous items (including litter) causing obstructions, not trespass, vandalism, weather or fallen/thrown from trains","NR","Network Rail","IQGL","NEA SHEFFIELD DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,17
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","107A","Possession over-run and related faults","I5","Possession over-run from planned work","NR","Network Rail","IQGL","NEA SHEFFIELD DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,17
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","108","Mishap - infrastructure causes","JL","Safety related incident caused by maintenance or infrastructure staff oversight or error (not Operations staff)","NR","Network Rail","IQJ4","EST WORKS DELIVERY NORTH","Works Delivery","WORKS DELIVERY",1,6
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501A","Network Rail Operations - signalling","OB","Delayed by signaller not applying applicable regulating policy","NR","Network Rail","CQIL","EAC LOM DONCASTER PSB","Local Operations","LOCAL OPERATIONS",1,20
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","CQGQ","LNE LOM SHEFFIELD NORTH","Local Operations","LOCAL OPERATIONS",5,22
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","CQGR","LNE LOM WORKSOP","Local Operations","LOCAL OPERATIONS",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQGD","NEA  LEEDS SUB ROC (LINK 2)","Local Operations","LOCAL OPERATIONS",2,6
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQGI","NEA LOM SHEFFIELD SUB ROC (L7)","Local Operations","LOCAL OPERATIONS",7,26
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501B","Network Rail Operations - control","OD","Delayed as a result of Route Control decision or directive","NR","Network Rail","OQV4","EMD LOM EAST MIDLANDS SCC","Local Operations","LOCAL OPERATIONS",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501D","Network Rail Operations - other","OH","ARS / TMS / SARS software problem (excluding scheduling issues and technical failures)","NR","Network Rail","CQGF","NEA LOM SHEFFIELD SUB ROC (L6)","Local Operations","LOCAL OPERATIONS",1,3
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","501D","Network Rail Operations - other","OH","ARS / TMS / SARS software problem (excluding scheduling issues and technical failures)","NR","Network Rail","OQGI","NEA LOM SHEFFIELD SUB ROC (L7)","Local Operations","LOCAL OPERATIONS",3,22
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502A","Timetable Planning","QA","WTT schedule and or LTP Process including erroneous simplifiers","NR","Network Rail","QQA0","TP ALL LTP ALSO PSNGER STP","Operational Planning","OPERATIONAL PLANNING",5,63
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQA0","TP ALL LTP ALSO PSNGER STP","Operational Planning","OPERATIONAL PLANNING",27,174
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQAK","TP RSB & STP FRT & Charters","Operational Planning","OPERATIONAL PLANNING",4,53
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502C","Network Rail commercial takeback/other","Q1","Takeback Pumps","NR","Network Rail","QQAP","HQ XC Takeback","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",1,1.5
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502C","Network Rail commercial takeback/other","Q1","Takeback Pumps","NR","Network Rail","QQRA","NWC TPE (EA) TAKEBACK","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,4
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502C","Network Rail commercial takeback/other","Q1","Takeback Pumps","NR","Network Rail","QQRN","NWC ARN (ED) TAKEBACK","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",3,5
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","502C","Network Rail commercial takeback/other","Q1","Takeback Pumps","NR","Network Rail","QQV0","EMD EMR TAKEBACK","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",6,14
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","601","All Z codes - Unexplained","ZS","No Cause ascertainable for a Sub-Threshold Delay causing Threshold Reactionary (where agreed by both parties)","NR","Network Rail","ZQGB","NEA UNEXPLAINED DELAYS","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",3,7
"2020/21_P01","G","North & East","GMNEA","North & East","DUSHF","SHEFFIELD","Network Management / Other","601","All Z codes - Unexplained","ZS","No Cause ascertainable for a Sub-Threshold Delay causing Threshold Reactionary (where agreed by both parties)","NR","Network Rail","ZQIB","EAC UNEXPLAINED DELAYS","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,7
